CRIME, TIME, LOCATION, CITY
BURGLARY,1514794680000,100 BLOCK W 6TH ST,LONG BEACH
LARCENY,1514795760000,800 BLOCK ROXANNE AV,LONG BEACH
BURGLARY,1514795940000,1100 BLOCK ATLANTIC AV,LONG BEACH
LARCENY,1514797260000,400 BLOCK W 4TH ST,LONG BEACH
WEAPONS VIOLATIONS,1514798760000,1500 BLOCK CHERRY AV,LONG BEACH
VANDALISM,1514798580000,1400 BLOCK LBB,LONG BEACH
GRAND THEFT AUTO,1514797200000,1700 BLOCK XIMENO AV,LONG BEACH
BURGLARY,1514805360000,3600 BLOCK ATLANTIC AV,LONG BEACH
VANDALISM,1514805900000,700 BLOCK GAVIOTA AV,LONG BEACH
LARCENY,1514804820000,1300 BLOCK REDONDO AV,LONG BEACH
GRAND THEFT AUTO,1514805840000,300 BLOCK HARDING ST,LONG BEACH
VANDALISM,1514807220000,BIRD WY|JUNIPERO AV,LONG BEACH
LARCENY,1514810160000,100 BLOCK PINE AV,LONG BEACH
LARCENY,1514805300000,900 BLOCK TEMPLE AV,LONG BEACH
LARCENY,1514812080000,100 BLOCK WORLD TRADE CENTER,LONG BEACH
GRAND THEFT AUTO,1514808960000,1300 BLOCK OBISPO AV,LONG BEACH
LARCENY,1514813520000,5600 BLOCK E 7TH ST,LONG BEACH
BURGLARY,1514810100000,800 BLOCK REDONDO AV,LONG BEACH
LARCENY,1514816640000,1000 BLOCK LA DERA DR,LONG BEACH
NARCOTICS,1514816280000,W 6TH ST|SAN FRANCISCO AV,LONG BEACH
ASSAULT AGGRAVATED,1514815860000,LBB|E PCH,LONG BEACH
LARCENY,1514818200000,100 BLOCK E WILLOW ST,LONG BEACH
HIT & RUN,1514819580000,5800 BLOCK ROSE AV,LONG BEACH
NARCOTICS,1514820180000,1000 BLOCK PINE AV,LONG BEACH
ROBBERY,1514820600000,800 BLOCK OHIO AV,LONG BEACH
FRAUD,1514819700000,400 BLOCK W BROADWAY,LONG BEACH
HIT & RUN,1514818440000,E 25TH ST|ELM AV,LONG BEACH
DRUNKENNESS,1514822220000,1900 BLOCK XIMENO AV,LONG BEACH
ASSAULT AGGRAVATED,1514822880000,900 BLOCK RAYMOND AV,LONG BEACH
LARCENY,1514823120000,6700 BLOCK CHERRY AV,LONG BEACH
ROBBERY,1514825040000,E 63RD ST|ATLANTIC AV,LONG BEACH
ASSAULT SIMPLE,1514825880000,1100 BLOCK OHIO AV,LONG BEACH
ASSAULT AGGRAVATED,1514827140000,W PCH|COTA AV,LONG BEACH
ASSAULT SIMPLE,1514827500000,400 BLOCK SHORELINE VILLAGE DR,LONG BEACH
NARCOTICS,1514829360000,3800 BLOCK E OCEAN BL,LONG BEACH
DRIVING UNDER INFLUENCE,1514833200000,E ANAHEIM ST|ALAMITOS AV,LONG BEACH
VANDALISM,1514833260000,2700 BLOCK WEST AMERICAN AV,LONG BEACH
VANDALISM,1514826600000,3200 BLOCK E OCEAN BL,LONG BEACH
DRIVING UNDER INFLUENCE,1514835600000,W 7TH ST|PARK CT,LONG BEACH
DRIVING UNDER INFLUENCE,1514836320000,DAWSON AV|E 7TH ST,LONG BEACH
HIT & RUN,1514833680000,MARKER ST|ARTESIA LN,LONG BEACH
GRAND THEFT AUTO,1514838720000,1300 BLOCK PARK AV,LONG BEACH
WEAPONS VIOLATIONS,1514838420000,W PCH|SANTA FE AV,LONG BEACH
DISORDERLY CONDUCT,1514843100000,100 BLOCK E 1ST ST,LONG BEACH
LARCENY,1514836860000,5000 BLOCK E PCH,LONG BEACH
LARCENY,1514847120000,700 BLOCK E 15TH ST,LONG BEACH
LARCENY,1514844180000,6000 BLOCK LBB,LONG BEACH
HIT & RUN,1514845920000,1600 BLOCK STANLEY AV,LONG BEACH
DRIVING UNDER INFLUENCE,1514849100000,PINE AV|E PCH,LONG BEACH
ASSAULT SIMPLE,1514850300000,400 BLOCK BELLFLOWER BL,LONG BEACH
ASSAULT SIMPLE,1514849400000,400 BLOCK E 17TH ST,LONG BEACH
GRAND THEFT AUTO,1514842680000,6800 BLOCK CHERRY AV,LONG BEACH
LARCENY,1514851440000,1800 BLOCK XIMENO AV,LONG BEACH
OFFENSES AGAINST FAMILY,1514829120000,1700 BLOCK PARK AV,LONG BEACH
LARCENY,1514853960000,LBB|E OCEAN BL,LONG BEACH
ASSAULT SIMPLE,1514853900000,700 BLOCK ORANGE AV,LONG BEACH
VANDALISM,1514858820000,7800 BLOCK E SPRING ST,LONG BEACH
DRIVING UNDER INFLUENCE,1514858940000,4700 BLOCK AIRPORT PLAZA DR,LONG BEACH
VANDALISM,1514858820000,7800 BLOCK E SPRING ST,LONG BEACH
LARCENY,1514858820000,7800 BLOCK E SPRING ST,LONG BEACH
VANDALISM,1514866020000,1300 BLOCK ROSE AV,LONG BEACH
BURGLARY,1514862000000,700 BLOCK REDONDO AV,LONG BEACH
LARCENY,1514866020000,4400 BLOCK BANNER DR,LONG BEACH
